route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
21,021008L_02101_,021008L_02101__1,Miralbueno,0,,
21,021008L_02101_,021008L_02101__2,Barrio Jesús,1,,
21,021008L_02101_,021008L_02101__3,Miralbueno,0,,
21,021008L_02101_,021008L_02101__4,Barrio Jesús,1,,
21,021008L_02101_,021008L_02101__5,Miralbueno,0,,
21,021008L_02101_,021008L_02101__6,Barrio Jesús,1,,
21,021008L_02101_,021008L_02101__7,Miralbueno,0,,
21,021008L_02101_,021008L_02101__8,Barrio Jesús,1,,
21,021008L_02101_,021008L_02101__9,Miralbueno,0,,
21,021008L_02101_,021008L_02101__10,Barrio Jesús,1,,
21,021008L_02101_,021008L_02101__11,Miralbueno,0,,
21,021008L_02101_,021008L_02101__12,Barrio Jesús,1,,
21,021008L_02101_,021008L_02101__13,Miralbueno,0,,
21,021008L_02101_,021008L_02101__14,Barrio Jesús,1,,
21,021008L_02101_,021008L_02101__15,Miralbueno,0,,
21,021008L_02101_,021008L_02101__16,Barrio Jesús,1,,
21,021008L_02101_,021008L_02101__17,Miralbueno,0,,
21,021008L_02101_,021008L_02101__18,Barrio Jesús,1,,
21,021008L_02101_,021008L_02101__19,Miralbueno,0,,
21,021008L_02101_,021008L_02101__20,Barrio Jesús,1,,
21,021008L_02101_,021008L_02101__21,Miralbueno,0,,
21,021008L_02101_,021008L_02101__22,Barrio Jesús,1,,
21,021008L_02101_,021008L_02101__23,Miralbueno,0,,
21,021008L_02102_,021008L_02102__1,Barrio Jesús,1,,
21,021008L_02102_,021008L_02102__2,Miralbueno,0,,
21,021008L_02102_,021008L_02102__3,Barrio Jesús,1,,
21,021008L_02102_,021008L_02102__4,Miralbueno,0,,
21,021008L_02102_,021008L_02102__5,Barrio Jesús,1,,
21,021008L_02102_,021008L_02102__6,Miralbueno,0,,
21,021008L_02102_,021008L_02102__7,Barrio Jesús,1,,
21,021008L_02102_,021008L_02102__8,Miralbueno,0,,
21,021008L_02102_,021008L_02102__9,Barrio Jesús,1,,
21,021008L_02102_,021008L_02102__10,Miralbueno,0,,
21,021008L_02102_,021008L_02102__11,Barrio Jesús,1,,
21,021008L_02102_,021008L_02102__12,Miralbueno,0,,
21,021008L_02102_,021008L_02102__13,Barrio Jesús,1,,
21,021008L_02102_,021008L_02102__14,Miralbueno,0,,
21,021008L_02102_,021008L_02102__15,Barrio Jesús,1,,
21,021008L_02102_,021008L_02102__16,Miralbueno,0,,
21,021008L_02102_,021008L_02102__17,Barrio Jesús,1,,
21,021008L_02102_,021008L_02102__18,Miralbueno,0,,
21,021008L_02103_,021008L_02103__1,Barrio Jesús,1,,
21,021008L_02103_,021008L_02103__2,Miralbueno,0,,
21,021008L_02103_,021008L_02103__3,Barrio Jesús,1,,
21,021008L_02103_,021008L_02103__4,Miralbueno,0,,
21,021008L_02103_,021008L_02103__5,Barrio Jesús,1,,
21,021008L_02103_,021008L_02103__6,Miralbueno,0,,
21,021008L_02103_,021008L_02103__7,Barrio Jesús,1,,
21,021008L_02103_,021008L_02103__8,Miralbueno,0,,
21,021008L_02103_,021008L_02103__9,Barrio Jesús,1,,
21,021008L_02103_,021008L_02103__10,Miralbueno,0,,
21,021008L_02103_,021008L_02103__11,Barrio Jesús,1,,
21,021008L_02103_,021008L_02103__12,Miralbueno,0,,
21,021008L_02103_,021008L_02103__13,Barrio Jesús,1,,
21,021008L_02103_,021008L_02103__14,Miralbueno,0,,
21,021008L_02103_,021008L_02103__15,Barrio Jesús,1,,
21,021008L_02103_,021008L_02103__16,Miralbueno,0,,
21,021008L_02103_,021008L_02103__17,Barrio Jesús,1,,
21,021008L_02104_,021008L_02104__1,Barrio Jesús,1,,
21,021008L_02104_,021008L_02104__2,Miralbueno,0,,
21,021008L_02104_,021008L_02104__3,Barrio Jesús,1,,
21,021008L_02104_,021008L_02104__4,Miralbueno,0,,
21,021008L_02104_,021008L_02104__5,Barrio Jesús,1,,
21,021008L_02104_,021008L_02104__6,Miralbueno,0,,
21,021008L_02104_,021008L_02104__7,Barrio Jesús,1,,
21,021008L_02104_,021008L_02104__8,Miralbueno,0,,
21,021008L_02104_,021008L_02104__9,Barrio Jesús,1,,
21,021008L_02104_,021008L_02104__10,Miralbueno,0,,
21,021008L_02104_,021008L_02104__11,Barrio Jesús,1,,
21,021008L_02104_,021008L_02104__12,Miralbueno,0,,
21,021008L_02104_,021008L_02104__13,Barrio Jesús,1,,
21,021008L_02104_,021008L_02104__14,Miralbueno,0,,
21,021008L_02104_,021008L_02104__15,Barrio Jesús,1,,
21,021008L_02104_,021008L_02104__16,Miralbueno,0,,
21,021008L_02104_,021008L_02104__17,Barrio Jesús,1,,
21,021008L_02104_,021008L_02104__18,Miralbueno,0,,
21,021008L_02105_,021008L_02105__1,Miralbueno,0,,
21,021008L_02105_,021008L_02105__2,Barrio Jesús,1,,
21,021008L_02105_,021008L_02105__3,Miralbueno,0,,
21,021008L_02105_,021008L_02105__4,Barrio Jesús,1,,
21,021008L_02105_,021008L_02105__5,Miralbueno,0,,
21,021008L_02105_,021008L_02105__6,Barrio Jesús,1,,
21,021008L_02105_,021008L_02105__7,Miralbueno,0,,
21,021008L_02105_,021008L_02105__8,Barrio Jesús,1,,
21,021008L_02105_,021008L_02105__9,Miralbueno,0,,
21,021008L_02105_,021008L_02105__10,Barrio Jesús,1,,
21,021008L_02105_,021008L_02105__11,Miralbueno,0,,
21,021008L_02105_,021008L_02105__12,Barrio Jesús,1,,
21,021008L_02105_,021008L_02105__13,Miralbueno,0,,
21,021008L_02105_,021008L_02105__14,Barrio Jesús,1,,
21,021008L_02105_,021008L_02105__15,Miralbueno,0,,
21,021008L_02105_,021008L_02105__16,Barrio Jesús,1,,
21,021008L_02105_,021008L_02105__17,Miralbueno,0,,
21,021008L_02106_,021008L_02106__1,Barrio Jesús,1,,
21,021008L_02106_,021008L_02106__2,Miralbueno,0,,
21,021008L_02106_,021008L_02106__3,Barrio Jesús,1,,
21,021008L_02106_,021008L_02106__4,Miralbueno,0,,
21,021008L_02106_,021008L_02106__5,Barrio Jesús,1,,
21,021008L_02106_,021008L_02106__6,Miralbueno,0,,
21,021008L_02106_,021008L_02106__7,Barrio Jesús,1,,
21,021008L_02106_,021008L_02106__8,Miralbueno,0,,
21,021008L_02106_,021008L_02106__9,Barrio Jesús,1,,
21,021008L_02106_,021008L_02106__10,Miralbueno,0,,
21,021008L_02106_,021008L_02106__11,Barrio Jesús,1,,
21,021008L_02106_,021008L_02106__12,Miralbueno,0,,
21,021008L_02106_,021008L_02106__13,Barrio Jesús,1,,
